11gb69pjsa2ksisb67vnbsr9cqv08v1a.aero.	3600	in	nsec3	1 1 0 73 1D8B33BDIJI5CG4NDJHDAUNBMO6SGBEI NS DS RRSIG
11gb69pjsa2ksisb67vnbsr9cqv08v1a.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. VghHRMGYrvJu0zKlrocLodC1vzgonpNUBNvmrBP2bM7O9fuzb8j7BWohcYVnXOugO6KDnWCt2YDt0T1W/OfI+VejXwg3/e/JQochIrOjkDzZG5FhEsr1ZoPgf++XqGlWjN7ehJcbidlvLPm7/Eai2a1g0K6JIQ2AG5gUpgu2llo=
1200.aero.	3600	in	ns	ns1.101domain.com.
1200.aero.	3600	in	ns	ns2.101domain.com.
1200.aero.	3600	in	ns	ns5.101domain.com.
125.aero.	3600	in	ns	dns1.ergonet-dns.com.
125.aero.	3600	in	ns	dns1.ergonet-dns.it.
125.aero.	3600	in	ns	dns1.ergonet-dns.net.
145.aero.	3600	in	ns	ns1.101domain.com.
145.aero.	3600	in	ns	ns2.101domain.com.
145.aero.	3600	in	ns	ns5.101domain.com.
147training.aero.	3600	in	ns	ns1.101domain.com.
147training.aero.	3600	in	ns	ns2.101domain.com.
147training.aero.	3600	in	ns	ns5.101domain.com.
14bis.aero.	3600	in	ns	cns369.hostgator.com.
14bis.aero.	3600	in	ns	cns370.hostgator.com.
172.aero.	3600	in	ns	ns1.101domain.com.
172.aero.	3600	in	ns	ns2.101domain.com.
172.aero.	3600	in	ns	ns5.101domain.com.
182.aero.	3600	in	ns	ns1.101domain.com.
182.aero.	3600	in	ns	ns2.101domain.com.
182.aero.	3600	in	ns	ns5.101domain.com.
1903.aero.	3600	in	ns	ns1.bdm.microsoftonline.com.
1903.aero.	3600	in	ns	ns2.bdm.microsoftonline.com.
1931.aero.	3600	in	ns	ns1.beget.com.
1931.aero.	3600	in	ns	ns1.beget.pro.
1931.aero.	3600	in	ns	ns2.beget.com.
1931.aero.	3600	in	ns	ns2.beget.pro.
1ats.aero.	3600	in	ns	ns1.101domain.com.
1ats.aero.	3600	in	ns	ns2.101domain.com.
1d8b33bdiji5cg4ndjhdaunbmo6sgbei.aero.	3600	in	nsec3	1 1 0 73 2GCPD1L766SLI96MV2OG0AMPKHGN0SK6 NS DS RRSIG
1d8b33bdiji5cg4ndjhdaunbmo6sgbei.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. kFJMc/0u3zbOMiD8wDuQQu8znzrCGs70tLb5YqL7oB1mM/jXJdAlgT7y/cFa9jHKamzmR3E1U5e/Wda2ycfIIx2aTQk9be860TTZCIXEeZxuJniy8yB0tcaRjMaFJNh5FbwW0UP9dMrrQ6oVphcySzHFQp3J62OJkldUGroiOkI=
1flt.aero.	3600	in	ns	ns1.101domain.com.
1flt.aero.	3600	in	ns	ns2.101domain.com.
1neo-connect.aero.	3600	in	ns	a1-79.akam.net.
1neo-connect.aero.	3600	in	ns	a18-67.akam.net.
1neo-connect.aero.	3600	in	ns	a24-64.akam.net.
1neo-connect.aero.	3600	in	ns	a3-67.akam.net.
1neo-connect.aero.	3600	in	ns	a4-66.akam.net.
1neo-connect.aero.	3600	in	ns	a7-66.akam.net.
1neoconnect.aero.	3600	in	ns	a1-79.akam.net.
1neoconnect.aero.	3600	in	ns	a18-67.akam.net.
