hostname,IPv6
a0.nic.scholarships.,2a01:8840:008a:0000:0000:0000:0000:0017
a2.nic.scholarships.,2a01:8840:008d:0000:0000:0000:0000:0017
b0.nic.scholarships.,2a01:8840:008b:0000:0000:0000:0000:0017
c0.nic.scholarships.,2a01:8840:008c:0000:0000:0000:0000:0017
