SLD,hostname
nic.scholarships.,a0.nic.scholarships.
nic.scholarships.,a2.nic.scholarships.
nic.scholarships.,b0.nic.scholarships.
nic.scholarships.,c0.nic.scholarships.
scholarships.,a0.nic.scholarships.
scholarships.,a2.nic.scholarships.
scholarships.,b0.nic.scholarships.
scholarships.,c0.nic.scholarships.
