SLD,hostname
98999.schule.,ns1.dns.com.
98999.schule.,ns2.dns.com.
99796.schule.,n1.xundns.com.
99796.schule.,n2.xundns.com.
aachener-gesamt.schule.,cns1.alfahosting.info.
aachener-gesamt.schule.,cns2.alfahosting.info.
aachener-gesamt.schule.,cns3.alfahosting.info.
aaddshedingen.schule.,ns1-35.azure-dns.com.
aaddshedingen.schule.,ns2-35.azure-dns.net.
aaddshedingen.schule.,ns3-35.azure-dns.org.
aaddshedingen.schule.,ns4-35.azure-dns.info.
aaffz.schule.,n1.xundns.com.
aaffz.schule.,n2.xundns.com.
aanfma.schule.,n1.xundns.com.
aanfma.schule.,n2.xundns.com.
aaudt.schule.,ns1.dyna-ns.net.
aaudt.schule.,ns2.dyna-ns.net.
abatagebunkerygorgets.schule.,amber.ns.cloudflare.com.
abatagebunkerygorgets.schule.,augustus.ns.cloudflare.com.
abc.schule.,ns1.sedoparking.com.
abc.schule.,ns2.sedoparking.com.
abc8.schule.,lochlan.ns.cloudflare.com.
abc8.schule.,rita.ns.cloudflare.com.
abend.schule.,ns1.nbiserv.de.
abend.schule.,ns2.nbiserv.de.
abend.schule.,ns3.nbiserv.de.
abend.schule.,ns4.nbiserv.de.
abendgi.schule.,ns1.iserv.eu.
abendgi.schule.,ns2.iserv.eu.
abendgi.schule.,ns3.iserv.eu.
abendgi.schule.,ns4.iserv.eu.
abendgym.schule.,dns1.registrar-servers.com.
abendgym.schule.,dns2.registrar-servers.com.
abi.schule.,ns1031.ui-dns.de.
abi.schule.,ns1048.ui-dns.org.
abi.schule.,ns1055.ui-dns.com.
abi.schule.,ns1071.ui-dns.biz.
abi2016.schule.,ns.second-ns.com.
abi2016.schule.,ns1.your-server.de.
abi2016.schule.,ns3.second-ns.de.
abi2017.schule.,ns.second-ns.com.
abi2017.schule.,ns1.your-server.de.
abi2017.schule.,ns3.second-ns.de.
abitur.schule.,ns1.dan.com.
abitur.schule.,ns2.dan.com.
abitur1994.schule.,ns1068.ui-dns.org.
abitur1994.schule.,ns1075.ui-dns.de.
abitur1994.schule.,ns1093.ui-dns.biz.
abitur1994.schule.,ns1109.ui-dns.com.
abnehmen.schule.,ns.checkdomain.de.
abnehmen.schule.,ns2.checkdomain.de.
aboutfashion.schule.,ns1.hosting.de.
aboutfashion.schule.,ns2.hosting.de.
aboutfashion.schule.,ns3.hosting.de.
absentismus.schule.,root-dns.netcup.net.
absentismus.schule.,second-dns.netcup.net.
absentismus.schule.,third-dns.netcup.net.
absentrix.schule.,root-dns.netcup.net.
absentrix.schule.,second-dns.netcup.net.
absentrix.schule.,third-dns.netcup.net.
abtenau.schule.,ns1.bdm.microsoftonline.com.
abtenau.schule.,ns2.bdm.microsoftonline.com.
abtenau.schule.,ns3.bdm.microsoftonline.com.
abtenau.schule.,ns4.bdm.microsoftonline.com.
abyat.schule.,dns1.registrar-servers.com.
abyat.schule.,dns2.registrar-servers.com.
abz-fusspflege.schule.,ns1020.ui-dns.biz.
abz-fusspflege.schule.,ns1035.ui-dns.de.
abz-fusspflege.schule.,ns1047.ui-dns.com.
abz-fusspflege.schule.,ns1112.ui-dns.org.
abz.schule.,ns1.world4you.at.
abz.schule.,ns2.world4you.at.
academic.schule.,dns1.namecheaphosting.com.
academic.schule.,dns2.namecheaphosting.com.
academy-fahr.schule.,ns1.gmxnet.de.
academy-fahr.schule.,ns2.gmxnet.de.
academy-fahr.schule.,ns3.gmxnet.de.
academy-fahr.schule.,ns4.gmxnet.de.
accadis.schule.,ns.transresult.net.
accadis.schule.,ns2.transresult.net.
accadis.schule.,ns3.transresult.net.
accadis.schule.,ns4.transresult.net.
account.schule.,ns1.domainhasexpired.com.
account.schule.,ns2.domainhasexpired.com.
acdhpg.schule.,ns1.dns.com.
acdhpg.schule.,ns2.dns.com.
acg-bonn.schule.,ns1034.ui-dns.org.
acg-bonn.schule.,ns1068.ui-dns.de.
acg-bonn.schule.,ns1076.ui-dns.com.
acg-bonn.schule.,ns1126.ui-dns.biz.
acg.schule.,docks06.rzone.de.
acg.schule.,shades05.rzone.de.
achern.schule.,ns1033.ui-dns.de.
achern.schule.,ns1091.ui-dns.com.
achern.schule.,ns1120.ui-dns.biz.
achern.schule.,ns1126.ui-dns.org.
achim.schule.,docks15.rzone.de.
achim.schule.,shades20.rzone.de.
achtsame.schule.,ns-de.1and1-dns.biz.
achtsame.schule.,ns-de.1and1-dns.com.
achtsame.schule.,ns-de.1and1-dns.de.
achtsame.schule.,ns-de.1and1-dns.org.
ackerhelden.schule.,ns.udag.de.
ackerhelden.schule.,ns.udag.net.
ackerhelden.schule.,ns.udag.org.
ackerheldenmachen.schule.,ns.udag.de.
ackerheldenmachen.schule.,ns.udag.net.
ackerheldenmachen.schule.,ns.udag.org.
acpgbh.schule.,ns1.dns.com.
acpgbh.schule.,ns2.dns.com.
activity.schule.,ns0.wixdns.net.
activity.schule.,ns1.wixdns.net.
acupuncture.schule.,docks13.rzone.de.
acupuncture.schule.,shades20.rzone.de.
ada.schule.,ns.udag.de.
ada.schule.,ns.udag.net.
ada.schule.,ns.udag.org.
adamries.schule.,ns.second-ns.com.
adamries.schule.,ns1.your-server.de.
adamries.schule.,ns3.second-ns.de.
adbs.schule.,ns-de.1and1-dns.biz.
adbs.schule.,ns-de.1and1-dns.com.
adbs.schule.,ns-de.1and1-dns.de.
adbs.schule.,ns-de.1and1-dns.org.
adhs.schule.,ns23.domaincontrol.com.
adhs.schule.,ns24.domaincontrol.com.
adliswil.schule.,ns1.hostserv.eu.
adliswil.schule.,ns2.hostserv.eu.
adliswil.schule.,ns3.hostserv.eu.
adm.schule.,ns77.domaincontrol.com.
adm.schule.,ns78.domaincontrol.com.
admin.schule.,ns1.cyon.ch.
admin.schule.,ns2.cyon.ch.
administrator.schule.,ns-b1.webmad.de.
administrator.schule.,ns-b2.webmad.de.
adnet.schule.,ns1.bdm.microsoftonline.com.
adnet.schule.,ns2.bdm.microsoftonline.com.
adnet.schule.,ns3.bdm.microsoftonline.com.
adnet.schule.,ns4.bdm.microsoftonline.com.
adobe-pbs.schule.,ns3.stratoserver.net.
adobe-pbs.schule.,ns4.stratoserver.net.
adolf-clarenbach.schule.,ns.udag.de.
adolf-clarenbach.schule.,ns.udag.net.
adolf-clarenbach.schule.,ns.udag.org.
adolph-diesterweg.schule.,ns01.compumi.de.
adolph-diesterweg.schule.,ns02.compumi.de.
adolph-diesterweg.schule.,ns03.compumi.de.
adolph-diesterweg.schule.,nsl3.compumi.de.
adpbch.schule.,ns1.dns.com.
adpbch.schule.,ns2.dns.com.
aduilp.schule.,a.share-dns.com.
aduilp.schule.,b.share-dns.net.
adventist.schule.,ns1.dreamhost.com.
adventist.schule.,ns2.dreamhost.com.
adventist.schule.,ns3.dreamhost.com.
adventisten.schule.,ns5.kasserver.com.
adventisten.schule.,ns6.kasserver.com.
advertising.schule.,ns1.dnsowl.com.
advertising.schule.,ns2.dnsowl.com.
advertising.schule.,ns3.dnsowl.com.
advii.schule.,a.dnspod.com.
advii.schule.,b.dnspod.com.
advii.schule.,c.dnspod.com.
ae888.schule.,benedict.ns.cloudflare.com.
ae888.schule.,lilyana.ns.cloudflare.com.
aeg.schule.,dale.ns.cloudflare.com.
aeg.schule.,mimi.ns.cloudflare.com.
aegidius.schule.,ns1026.ui-dns.biz.
aegidius.schule.,ns1027.ui-dns.de.
aegidius.schule.,ns1066.ui-dns.com.
aegidius.schule.,ns1106.ui-dns.org.
aeonium.schule.,docks05.rzone.de.
aeonium.schule.,shades07.rzone.de.
aerogelalleleuhungary.schule.,lloyd.ns.cloudflare.com.
aerogelalleleuhungary.schule.,mimi.ns.cloudflare.com.
aes.schule.,ns01.1blu.de.
aes.schule.,ns02.1blu.de.
aeschbacher.schule.,ns12.wixdns.net.
aeschbacher.schule.,ns13.wixdns.net.
afafvzv.schule.,n1.xundns.com.
afafvzv.schule.,n2.xundns.com.
afb.schule.,ns.second-ns.com.
afb.schule.,ns1.your-server.de.
afb.schule.,ns3.second-ns.de.
afd.schule.,ns1.sedoparking.com.
afd.schule.,ns2.sedoparking.com.
affenzahn.schule.,docks18.rzone.de.
affenzahn.schule.,shades14.rzone.de.
affiliate-marketing.schule.,ns.checkdomain.de.
affiliate-marketing.schule.,ns2.checkdomain.de.
affiliate.schule.,root-dns.netcup.net.
affiliate.schule.,second-dns.netcup.net.
affiliate.schule.,third-dns.netcup.net.
