hostname,IPv6
ns.stifts.schule.,2a02:d500:0000:0000:0000:0000:0000:0053
ns1.netzwerk.schule.,2a01:04f8:0c0c:0c02:0000:0000:0000:0002
ns1.weise.schule.,2a01:0238:4228:5f00:0ee6:d65a:2240:0fdb
v0n0.nic.schule.,2a01:8840:0016:0000:0000:0000:0000:0068
v0n1.nic.schule.,2a01:8840:0017:0000:0000:0000:0000:0068
v0n2.nic.schule.,2a01:8840:0018:0000:0000:0000:0000:0068
v0n3.nic.schule.,2a01:8840:00f4:0000:0000:0000:0000:0068
v2n0.nic.schule.,2a01:8840:0019:0000:0000:0000:0000:0068
v2n1.nic.schule.,2a01:8840:00f5:0000:0000:0000:0000:0068
