SLD,hostname
1440.school.,ns2.digitalocean.com.
144club.school.,dilbert.ns.cloudflare.com.
144club.school.,melinda.ns.cloudflare.com.
146.school.,ns1.reg.ru.
146.school.,ns2.reg.ru.
15.school.,ns1-show.myhostadmin.net.
15.school.,ns2-show.myhostadmin.net.
1688.school.,ns1.myhostadmin.net.
1688.school.,ns2.myhostadmin.net.
1729.school.,ns-cloud-c1.googledomains.com.
1729.school.,ns-cloud-c2.googledomains.com.
1729.school.,ns-cloud-c3.googledomains.com.
1729.school.,ns-cloud-c4.googledomains.com.
1826.school.,ns1.tildadns.com.
1826.school.,ns2.tildadns.com.
188bet.school.,joselyn.ns.cloudflare.com.
188bet.school.,piers.ns.cloudflare.com.
18win.school.,curt.ns.cloudflare.com.
18win.school.,kami.ns.cloudflare.com.
19.school.,coco.bunny.net.
19.school.,kiki.bunny.net.
1984.school.,ns10.wixdns.net.
1984.school.,ns11.wixdns.net.
1aid.school.,ns21.domaincontrol.com.
1aid.school.,ns22.domaincontrol.com.
1it.school.,kai.ns.cloudflare.com.
1it.school.,nicole.ns.cloudflare.com.
1k.school.,dns1.registrar-servers.com.
1k.school.,dns2.registrar-servers.com.
1money.school.,jay.ns.cloudflare.com.
1money.school.,mona.ns.cloudflare.com.
1percent.school.,pdns1.registrar-servers.com.
1percent.school.,pdns2.registrar-servers.com.
1plus1.school.,dns1.registrar-servers.com.
1plus1.school.,dns2.registrar-servers.com.
1room.school.,ns55.domaincontrol.com.
1room.school.,ns56.domaincontrol.com.
1st.school.,dns1.registrar-servers.com.
1st.school.,dns2.registrar-servers.com.
1stalternative.school.,ns21.domaincontrol.com.
1stalternative.school.,ns22.domaincontrol.com.
1stchoice.school.,ns17.domaincontrol.com.
1stchoice.school.,ns18.domaincontrol.com.
1to1.school.,ns1024.ui-dns.org.
1to1.school.,ns1042.ui-dns.biz.
1to1.school.,ns1092.ui-dns.com.
1to1.school.,ns1110.ui-dns.de.
1v1.school.,ns-1008.awsdns-62.net.
1v1.school.,ns-1256.awsdns-29.org.
1v1.school.,ns-1984.awsdns-56.co.uk.
1v1.school.,ns-273.awsdns-34.com.
1vl.school.,chin.ns.cloudflare.com.
1vl.school.,jonah.ns.cloudflare.com.
1win.school.,ns1.pananames.com.
1win.school.,ns2.pananames.com.
1win.school.,ns3.pananames.com.
1win.school.,ns4.pananames.com.
2030.school.,ns33.domaincontrol.com.
2030.school.,ns34.domaincontrol.com.
