hostname,IPv6
a.nic.schwarz.,2001:067c:13cc:0000:0000:0000:0001:0099
b.nic.schwarz.,2a04:2b00:13cc:0000:0000:0000:0001:0099
c.nic.schwarz.,2a04:2b00:13ee:0000:0000:0000:0000:0099
d.nic.schwarz.,2a04:2b00:13ff:0000:0000:0000:0000:0099
