hostname,IPv4
a.nic.schwarz.,194.169.218.99
b.nic.schwarz.,185.24.64.99
c.nic.schwarz.,212.18.248.99
d.nic.schwarz.,212.18.249.99
ns1.dnstrap.schwarz.,193.148.168.191
ns2.dnstrap.schwarz.,193.148.168.191
